frame,tracker_id,meas_x,meas_y,meas_w,meas_h,smooth_x,smooth_y,smooth_w,smooth_h,ok,reinit_attempted,reinit_success,reinit_failed
100,2,730.0,460.0,51.0,50.0,728.7069149017334,457.13391494750977,50.9929084777832,49.99291229248047,True,False,False,False
101,1,537.0,477.0,169.0,59.0,535.7739639282227,476.5532627105713,171.6328582763672,59.65818405151367,True,False,False,False
101,2,730.0,461.0,51.0,50.0,727.9222660064697,458.97460174560547,50.99482345581055,49.99482727050781,True,False,False,False
102,1,536.0,476.0,169.0,59.0,534.8236389160156,476.06489753723145,170.92156982421875,59.48037338256836,True,False,False,False
102,2,731.0,462.0,52.0,51.0,729.0584621429443,461.2075996398926,51.26637649536133,50.266380310058594,True,False,False,False
103,1,534.0,475.0,173.0,60.0,534.0362319946289,475.29673957824707,171.4830780029297,59.62075424194336,True,False,False,False
103,2,734.0,448.0,52.0,51.0,732.3206939697266,451.3765697479248,51.464569091796875,50.46457290649414,True,False,False,False
104,1,535.0,476.0,173.0,60.0,534.5494079589844,475.7125835418701,171.89288330078125,59.723209381103516,True,False,False,False
104,2,734.0,462.0,52.0,51.0,734.0663013458252,457.52940368652344,51.60921859741211,50.609222412109375,True,False,False,False
105,1,537.0,477.0,169.0,59.0,535.4493255615234,476.4865436553955,171.11135864257812,59.527828216552734,True,False,False,False
105,2,734.0,461.0,52.0,51.0,734.8069725036621,460.2776737213135,51.71479034423828,50.71479415893555,True,False,False,False
106,1,534.0,475.0,173.0,60.0,534.7272338867188,475.5840187072754,171.62158203125,59.65538787841797,True,False,False,False
106,2,732.0,461.0,52.0,51.0,733.3996734619141,461.5984935760498,51.791839599609375,50.79184341430664,True,False,False,False
107,1,535.0,476.0,173.0,60.0,535.1197128295898,475.88262367248535,171.9939727783203,59.74848556518555,True,False,False,False
107,2,734.0,449.0,52.0,51.0,734.0950050354004,452.639986038208,51.84807586669922,50.848079681396484,True,False,False,False
108,1,536.0,477.0,169.0,59.0,535.0634994506836,476.571008682251,171.1851348876953,59.5462760925293,True,False,False,False
108,2,729.0,461.0,52.0,51.0,730.4581508636475,457.52226638793945,51.88911819458008,50.889122009277344,True,False,False,False
109,1,533.0,476.0,173.0,60.0,533.8084030151367,476.39772033691406,171.67543029785156,59.668853759765625,True,False,False,False
109,2,727.0,463.0,53.0,52.0,727.3190822601318,462.12504959106445,52.18922805786133,51.189231872558594,True,False,False,False
110,1,535.0,477.0,169.0,59.0,533.713737487793,476.784912109375,170.95265197753906,59.4881591796875,True,False,False,False
110,2,729.0,463.0,52.0,51.0,727.2767105102539,464.02692222595215,52.13810729980469,51.13811111450195,True,False,False,False
111,1,534.0,476.0,173.0,60.0,534.0919723510742,476.4432830810547,171.50575256347656,59.626434326171875,True,False,False,False
111,2,729.0,463.0,52.0,51.0,727.6064624786377,464.61204528808594,52.10079574584961,51.100799560546875,True,False,False,False
112,1,535.0,477.0,173.0,60.0,535.0844650268555,477.0086975097656,171.90943908691406,59.72735595703125,True,False,False,False
112,2,726.0,464.0,52.0,51.0,725.6766567230225,465.3066921234131,52.07356643676758,51.07356643676758,True,False,False,False
113,1,534.0,477.0,173.0,60.0,534.7520980834961,477.2579097747803,172.2040557861328,59.8010139465332,True,False,False,False
113,2,728.0,461.0,52.0,51.0,726.4925632476807,462.97742652893066,52.05369186401367,51.05369186401367,True,False,False,False
